timestamp,myecg,context_myecg,date (Asia/Dhaka)
1.67059E+12,519,{},2022-12-09 18:29:47.752000+06:00
1.67059E+12,470,{},2022-12-09 18:29:46.750000+06:00
1.67059E+12,521,{},2022-12-09 18:29:45.169000+06:00
1.67059E+12,528,{},2022-12-09 18:29:44.027000+06:00
1.67059E+12,480,{},2022-12-09 18:29:43.008000+06:00
1.67059E+12,415,{},2022-12-09 18:29:42.743000+06:00
1.67059E+12,499,{},2022-12-09 18:29:38.866000+06:00
1.67059E+12,495,{},2022-12-09 18:29:37.004000+06:00
1.67059E+12,559,{},2022-12-09 18:29:36.044000+06:00
1.67059E+12,561,{},2022-12-09 18:29:35.077000+06:00
1.67059E+12,546,{},2022-12-09 18:29:34.215000+06:00
1.67059E+12,504,{},2022-12-09 18:29:33.155000+06:00
1.67059E+12,490,{},2022-12-09 18:29:32.279000+06:00
1.67059E+12,486,{},2022-12-09 18:29:31.437000+06:00
1.67059E+12,514,{},2022-12-09 18:29:30.325000+06:00
1.67059E+12,561,{},2022-12-09 18:29:29.436000+06:00
1.67059E+12,555,{},2022-12-09 18:29:28.571000+06:00
1.67059E+12,547,{},2022-12-09 18:29:27.697000+06:00
1.67059E+12,528,{},2022-12-09 18:29:26.799000+06:00
1.67059E+12,320,{},2022-12-09 18:29:25.802000+06:00
1.67059E+12,386,{},2022-12-09 18:29:24.806000+06:00
1.67059E+12,742,{},2022-12-09 18:29:23.884000+06:00
1.67059E+12,487,{},2022-12-09 18:29:22.107000+06:00
1.67059E+12,546,{},2022-12-09 18:29:21.080000+06:00
1.67059E+12,476,{},2022-12-09 18:29:20.161000+06:00
1.67059E+12,553,{},2022-12-09 18:29:19.109000+06:00
1.67059E+12,550,{},2022-12-09 18:29:18.082000+06:00
1.67059E+12,504,{},2022-12-09 18:29:17.142000+06:00
1.67059E+12,520,{},2022-12-09 18:29:16.047000+06:00
1.67059E+12,508,{},2022-12-09 18:29:15.024000+06:00
1.67059E+12,518,{},2022-12-09 18:29:14.007000+06:00
